Headline,News,sentiment
Whats Next For Oil After The New OPEC Deal.html,"The recent OPEC+ meeting ended with an agreement that would gradually increase the cartel’s monthly production until in late 2022 all of the 9.7 mm BOPD that had originally been withheld from the market, was restored. There was already an agreement in place through December of 2021, but the Kingdom of Saudi Arabia’s, (KSA) desire to extend it to the end of next year was a bone of contention with the United Arab Emirates, (UAE). This agreement was not reached easily and required some negotiation and compromise to achieve.  It has been widely reported that the crux of the disagreement between KSA and the UAE, was the latter’s desire for a higher output ceiling from which its share of curtailment would be calculated. This, while certainly true, is not the only factor in the new assertiveness demonstrated by the UAE in OPEC affairs.  There is a dichotomy of perspective about the peak for oil that has developed between the KSA and the UAE. The Saudis’ five year plan to diversify their revenues away from oil has not been as successful as initially hoped, and they now view oil production as underpinning their economy for decades to come. They also view the transition to renewables as having a multi-decade arc that will keep demand for oil and derivatives relatively high over this period. The new, higher price regime in or near the $70’s is a breath of fresh air for their economy. The UAE have had more success in attracting foreign investment, and on a parallel track, have energized their oil sector with a $122 bn investment plan, to dramatically increase production in the near term. Their view on the energy transition is that it will have a much shorter arc that could lead to substantial reserves being “stranded.” A very undesirable outcome for this tiny middle-Eastern nation, and makes them want to up production regardless of the impact on prices. This the underlying fear behind their insistence on a higher baseline for allocating their share of OPEC+ production. This led to the impasse that resulted in the first meeting ending abruptly with no statement forthcoming, as per usual.  This divergence in viewpoint has caused the UAE to purposefully step out of the shadow of the Saudi’s in discusses revolving around output. As we will learn, there was considerably more involved between these two key OPEC members than just raising the output levels. In this article we will take a deeper look at the regional tug of war that has developed for shaping the cartel’s destiny. A tug of war that has global implications on oil availability and price. First we will take a quick look at these competing philosophies as regards peak oil. The Saudi Vision 2030 plan The Saudi Vision 2030 plan was rolled out in 2016, with considerable fanfare when Mohammed bin Salman, (MBS) was named Crown Prince, becoming the defacto heir to the throne. The 2030 plan included a series of mega-projects including a futuristic city called Neom, that was intended to dramatically lessen the kingdom’s reliance on oil exports for revenue by 2030. This year, the five-year point since its implementation, the 2030 plan has under-performed its billing with less than half the planned revenue forecast from non-oil sources being achieved. Masked in the details is the fact that much of the actual increase has come from new taxes and not new outside investment, as noted in the linked article. Some of this may be associated with some missteps by the Crown Prince along the way. The Kashoggi killing, the privatization of Aramco failing to draw much external interest, a $200 bn solar farm that failed to draw enough support to get off the drawing board, and an attempt to launch a nuclear power project have all contributed to a sense of a lack of direction in the investment community.  With many internal problems associated with a young population that lacks preparation for modern employment, an economy that shrank 3% from the impact of the pandemic, and weaker growth internally from high taxes and subsidy cuts, KSA has struggled to balance its books. With external cash inflow insufficient to meet its economic needs the Kingdom has renewed its commitment to a heavier reliance on oil for longer into the future than it thought would be necessary just a few years ago. An energy consultant located in Dubai was quoted in the linked article as saying- “In the past five years, Saudi Arabia has made little progress in alleviating its reliance on oil-export revenues. It is probably going to take over 30 years to move away from oil dependency.” The UAE 5-year plan by contrast The UAE’s plan doesn’t have an iconic name as does KSA’s, but the country has met with more success on a number fronts on a relative basis. Its privatization of certain aspects of ADNOC properties, selling stakes in ADNOC subsidiaries drew $25 bn of foreign capital into the country without the trauma of actually going through an IPO process for the holding company. Something that was painful for the Kingdom. The UAE is now producing power from a 400+ MW plant in Dubai, and even in the nuclear power area the Emirates have outstripped their larger neighbor with a nuclear generating plant that’s come online just this year.
  Related: Everything You Need To Know About OPEC’s New Agreement The UAE has even gone a step further and successfully introduced a new futures contract on their production, known as the Murban. This is meant to facilitate their trading and optimize pricing and volumes within the production limits set by OPEC. The Emirates are also looking to move higher in the petroleum value chain with a $45 bn expansion of the Ruwais industrial complex. In this effort the country’s refining capacity will be doubled and a huge petrochemical complex will be built. Euro major oil companies, BP, (NYSE:BP), TotalEnergies, NYSE: TTE), and ENI, NYSE:E) are partners in this enterprise, and hold Production Sharing Agreements-PSA’s, for upstream development in the country. The major piece of this initiative was not launched until November of last year when it was announced that the country would begin a $122 bn expansion of ADNOC’s oil output with a goal of raising production to 5 mm BOPD. Which brings us back to the current state of affairs and competing philosophies regarding how best to extract the maximum value from their petroleum reserves. But, first let’s look at some of the regional power struggles that contribute to the tension between the two countries. Behind the scenes The Middle East seems an eternal hotbed of conflict of one type or another. Many factors play into this and we will focus on the competition for ascendancy in the region between KSA and the UAE. The Saudi/Iran proxy war in Yemen has been in and out of the news in recent years, but it drags on year after year. A key supporter of KSA in the effort to subdue the Houthi rebels has been the UAE. In 2019 it announced it would withdraw its troops from the conflict. A blow to Saudis attempt to call the war effort a regional coalition.  The easing of tensions between the UAE and Israel in a U.S. brokered peace deal have deepened the mistrust between these two states as well. Saudi remains deeply divided about Israel because of the Palestinian question, and looks to regional neighbors for support for their cause. Then in another regional power shift, KSA buried the hatchet with Qatar leaving the UAE out in the cold, and forced go along. The two countries for years had engaged a blockade of Qatar, until a U.S. brokered peace agreement led to a truce early this year in the last administration. With the regional back and forth taking place on other fronts, it was clear that the UAE had to at least “rattle the cage” of OPEC+ to protect its interests. What will the impact be on oil supplies? From the announcement that came out of Sunday’s meeting, it appears that the UAE got most of what they were seeking in terms of increasing their production baseline. Other countries including Saudi Arabia, Russia, Kuwait, and Iraq also saw their baseline quotas raised, so this was a shared victory. With the production management agreement extended through December of 2022, Saudi also got a key win for their concerns about too much oil driving prices down. On the horizon also is the potential return of about 1.5 mm BOPD from Iran once sanctions are lifted. The statement included language about the cartel reviewing this policy in the event this crude lands in the market.
 Prices for many grades of crude fell on the announcement of 400K barrels being returned to the market, with August contract for WTI dipping below $70 in Monday’s futures for the first time since early June. As I noted in an earlier OilPrice article when this outcome for OPEC+ was on the horizon, the global market can easily absorb this crude, assuming the recovery from Covid-19 continues. I think it will. The EIA projects that U.S. YE 2022 production will be ~12.2 mm BOPD. This breaks down to 1.8 mm BOPD from the GoM, and ~400K BOPD from Alaska, thus requiring shale production at ~10 mm BOPD. A boost of 2.2 mm BOPD from today’s rate of ~7.8 mm BOPD, and taking it far beyond the highest level ever produced in the shale patch.   I think expecting this variable to perform at the EIA’s assumed level is unrealistic. This agency has some rather simplistic assumptions used in making these estimates that mainly are backward looking and assigning rig numbers with crude production. This doesn’t take into account the fact that DUC-Drilled but UnCompleted wells withdrawal have been largely responsible for controlling the rate of decline this year in the face of reduced activity from prior years. In March of 2020, shale production peaked at 9.3 mm BOPD on the strength of a peak 1,100 Rigs in the prior 15 months, and 420 active frac spreads.  Data-EIA/PrimaryVision As we know the service and supply industry has been turned on its head the last three years, and is much smaller in terms of deployable rigs and pumps. Personnel have also been eliminated at a rate never before seen in an industry known for wide swings in activity. In our view these reductions along with the stated intent by the industry to repair balance sheets and reward investors with stock buybacks and improved dividend payouts, augurs against a return to 2019 in terms of activity. The next variable is the rapid spread of the “Delta” Covid variant. This, in my view, is more a matter of perception than a sea change in the general direction of the recovery. While more transmissible than the original strain, it seems to result in a milder infection, and the vaccines are near 97% effective in preventing infection. And, of course the good news that seldom gets reported is the infection itself in the unvaccinated will eventually bring about the “herd” immunity among the population that will render Covid to essentially the same status as the flu. Some you live with and doesn’t cause a wide spread panic. Your takeaway The upshot of all of these factors-the OPEC+ agreement, production rates and North American shale activity levels, is that despite fluctuations due to market driven changes in sentiment, the price trend for oil will be higher. These changes in sentiment will be transitory in my view, creating opportunities to add to positions in key companies likely to benefit from these higher prices. Companies like Halliburton, (NYSE: HAL), Schlumberger, NYSE:SLB), Devon Energy, (NYSE: DVN), Occidental, (NYSE: OXY), ConocoPhillips, (NYSE:COP), Pioneer Exploration, (NYSE:PXD) are poised to report a resoundingly improved QoQ performance from Q-1, that will drive their stock prices higher. Investors who believe that the economic recovery that began last year with the announcement of the effectiveness of the vaccines, will continue should view the current ~20% average sell-off in the last couple of weeks as a buying opportunity.",Positive
Chinas Changing Policies Could Create A Huge Oil Demand Deficit.html,"Figures released last week show that China’s crude oil imports in the first half of 2021 declined for the first time in eight years. China has been the world’s largest net importer of crude oil and other liquids in the world since September 2013 and almost on its own created the 2000-2014 commodities ‘supercycle’, characterized by consistently rising price trends for all commodities – including oil - that are used in a booming manufacturing and infrastructure environment. This oil consumption boom from China was a product largely of the 8+ percent average annual GDP growth recorded by the country over that period, with many spikes well above 10 percent. So does this sudden dip in oil imports in the first half of this year – against declining economic growth over the past few years - mean that a major supportive driver of oil prices has gone for good? A noticeable decline in the rate of economic growth in China began in 2012 when it dipped below the key 8 percent figure for the first time since 1990. Since then the true number for China’s GDP growth has been a matter of considerable conjecture as, although the official annual figures have always been above at least 6 percent, traders and analysts are aware that the numbers are subject to extreme political pressures that could not tolerate headline GDP figures of, say, just 3 percent per year, where a number of traders and analysts think it is. Whatever the real figure, the fact remains that up until this latest data release for the first half of this year, China has still accounted for the consumption of 10-14 million barrels per day (bpd) of crude oil since 2012, crossing the 10 million bpd of crude oil imports level in 2019, having overtaken the U.S. as the world’s biggest net importer of crude oil in 2017.  China had also seemingly dealt with the economic fallout from the COVID-19 pandemic that peaked (to date) in 2020. By just the second week of April 2020 (only three to four months after the virus began to notably surface elsewhere in the world, and just a week or two after the first U.K. full national lockdown was announced) the lockdown of Wuhan - the Chinese city in which the global COVID-19 pandemic began – was eased. Although as an export-led economy, China would still face some trouble in the coming weeks and months, moves were immediately afoot to mitigate these downside risks to its economy.   In fact, even before the easing of the lockdown in Wuhan, China’s industrial sector had been back operating at levels above the pre-COVID-19 rates for over two weeks. According to data released by China’s National Bureau of Statistics at the beginning of April 2020, the official manufacturing purchasing managers index (PMI) – a survey of sentiment among factory owners in the world’s second-largest economy – was 52 in March. Not only was this a huge leap up from the all-time low reading of 35.7 in February but also a reading of above 50 shows that the manufacturing sector was actually growing.
 Technically, it can be argued that the unexpected decrease in China’s crude oil imports in the first half of 2021 is a product of the decrease in margins available to China’s refiners given the recent rise in global crude oil prices. However, this also happened - and to a much greater degree - in the second half of 2018 and China’s crude oil imports did not dip then.  This time around it is critical to note that China’s Q2 GDP fell to 7.9 percent year-on-year (y-o-y), slightly lower than the 8.0 percent median forecasts of analysts covering the sector. “Aside from the fading favorable base effects, quarterly gains of 1.3 percent quarter-on-quarter [q-o-q] were on the back of downward revisions in the Q1 print,” SEB’s Singapore-based head of Asia strategy, Eugenia Victorino, told OilPrice.com last week. “While the June activity indicators managed to beat low expectations, momentum in growth remains imbalanced, with growth in retail sales easing to 12.1 percent y-o-y from 12.4 percent in May but the compound growth rate in the last two years eased to 4.9 percent in June from 8.0 percent in 2019, indicating that household spending remains far from pre-pandemic trends,” she said.  Related: Oil Continues To Collapse On OPEC News, COVID Fears “Meanwhile, residential property sales are quickly losing steam due to the rising mortgage rates and thus we are cautious of the stalling recovery in private consumption,” she added. “Additionally, the credit impulse has declined sharply in the last quarter and, historically, the credit cycle has a six-month lead, indicating a continued decline in sequential growth in the near term,” she underlined. “The broad-based reduction in the reserve requirement ratio that came into effect on 15 July should provide some offset to the easing growth momentum but whether this is enough to prolong the recovery is not yet clear,” she concluded.  The situation in which China finds itself may underpin the view that the country is no longer interested in playing the sort of leading role in the economy of the globe as it has done for the past 10-20 years in particular, which is even more concerning for those with a bullish take on future oil prices. “There was a time when China’s credit impulse was the most important piece of data in global macro and, for almost a decade, the country has been locked in a stop-go policy pattern, with every oscillation in China’s domestic monetary/fiscal stance eventually producing powerful swings in the broader global industrial cycle,” Dario Perkins, managing director of global macro for TS Lombard, in London, told OilPrice.com last week. “To be precise, if China tightened, the world could expect a deflation scare, typically around eight to ten months later and if the authorities eased then reflation would become the big theme,” he said. 
 This enduring correlation between China’s economic measures and the rest of the world seemed to go far beyond traditional trade links, including China’s role as a source of final demand, which, thinks Perkins, was – and has remained – a function of the fact that with the developed economies suffering secular stagnation and central banks powerless to stimulate demand, China had become the world’s main source of ‘balance sheet’. “By adding 30 percent of world GDP to the Chinese Communist Party balance sheet, the country had become the marginal source of demand for the entire global economy but this leaves a problem – because China no longer wants to play this role,” added Perkins.  More specifically, he underlined, Beijing has adjusted its economic objectives and is now less willing to engage in big credit stimulus, with the central Chinese authorities now cognizant of the fact that continued rapid debt build-up poses a risk to future growth and to social stability and national security as well. This ties into moves seen since 2017 in China that have broadly signaled a shift from credit-fuelled expansion to an emphasis on slower sustainable development, and have included a crackdown on shadow banking, tackling legacy debt burdens, and removing explicit GDP targets. This shift can also be seen in China’s response to the COVID-19 pandemic compared to its response to the first significant onset of the global financial crisis in 2008. According to figures from TS Lombard, in 2020 China’s COVID-19 stimulus was 10 percent of GDP (versus 13 percent in 2008), compared to 26 percent of GDP in the U.S., 40 percent in Germany, and 24 percent in France. “China’s stop-go policy cycle is still there, but the threshold for intervention is higher and the scale of stimulus is likely to be smaller,” said Perkins.  So, what does this mean for global growth and, by extension, for oil demand? “Short-term, the world’s economic ‘cycle’ - if you can even call it that - is dominated by COVID, with the contractions and expansions associated with lockdowns and reopening comfortably dwarfing any spillovers from Chinese policy, either direct or indirect,” he underlined. But after the developed world has settled into a new normal in which COVID-19 or whatever subsequent variant comes along is dealt with and regarded in a similar manner to influenza – yearly mass vaccinations and the acceptance of a certain death rate per year -  then China’s shift in policy will leave a huge gap in global demand for oil (and all other commodities that are used in a booming manufacturing and infrastructure environment that Beijing has been buying up over the past 30 years). “If China is truly falling out of love with State stimulus then the world is going to need an alternative source of demand if it is going to avoid an even more stagnant economy than before COVID-19,” Perkins concluded. ",Positive
Europe Ramps Up Pivot Away From Fossil Fuels.html,"Reducing carbon emissions seems to be on the top of everybody’s agenda at the moment. A recent post in The New York Times reports on proposals being discussed in the European Union to drive the region’s pivot away from fossil fuels over the next nine years. According to the report, the most radical and possibly contentious proposal would impose tariffs on certain imports from countries with less-stringent climate protection rules. The proposals would also include eliminating the sales of new petrol- and diesel-powered cars in just 14 years. They also call for a 55% reduction in greenhouse gas emissions by 2030 (compared with 1990 levels). According to The New York Times, at the heart of the European road map is increased prices for carbon. Nearly every sector of the economy would have to pay a price for the emissions it produces. In turn, that would affect things like cement in construction and fuel for cruise ships. Proposed tariffs on imports of goods made outside the European Union, in countries with less-stringent climate policies, could invite disputes at the World Trade Organization. The cross-border carbon tax proposal could have the greatest impact on goods from Russia and Turkey, mainly iron, steel and aluminum. We covered that topic recently following howls of protest by European steel and aluminum producers that overseas supplier could simply direct low-carbon production to Europe and sell their higher-carbon content production elsewhere. That would leave a net-zero reduction in global carbon emissions. Furthermore, it would damage European manufacturers’ home markets by allowing in low-tariff imports from producers they deem to be cheating the system. The good news for U.S. exports to Europe is any impact would be far smaller.
 Little in the way of raw material is shipped from the U.S. to the E.U. Anyway, Democrats are looking at a similar tax, termed the “polluters tax” intended to have a similar impact. The proposals, if passed, would see the last gasoline or diesel cars sold in the European Union by 2035. According to the post, they would require that 38.5% of all energy be from renewables by 2030. The proposals also call for a significant increase in the price charged for carbon emitted to make the use of fossil fuels increasingly expensive. China is the world’s largest polluter. However, it faces some unique challenges. Its power generation industry is one of the youngest among major economies, with numerous new power stations coming onstream every month. To switch from that overwhelmingly coal-based capacity would entail eye-watering capital losses. Ahead of the upcoming Glasgow-hosted COP-26 climate talks later this year, China has just announced it will launch its long-awaited carbon market. According to The New York Times, it would be the world’s largest by volume of emissions. As with all carbon markets, though, its efficacy will in part be down to how generous Beijing’s get- out-of-jail-free cards it issues to polluters in the form of carbon credits. Nonetheless, it would be a start. Politically, this has some way to go.
 It is estimated it will take two years for the European Union’s policies to be debated, negotiated and finally agreed across the E.U.’s 27 national governments and with Brussels. Views differ widely as to priorities. Some countries, like Denmark, are already well on the way in the process of a huge switch to renewables. Others, like Poland and Germany, still rely heavily on coal for power generation. Hence, their industrial base would face substantial implications — unless carbon credits were so generous they would make the proposals meaningless. Related: The Ongoing Transformation Of ‘Big Oil’ Someone has to pay for such a colossal shift. It is always, in the end, the consumer. Politicians at the local level are well aware of this and will to varying degrees look to push the consequences as far into the future as possible — if not for when they are no longer in power then at least when they are in different ministerial roles. Then, it’s someone else’s problem. All the same, the flow of history is clear. Where governments fail, the market may well lead. Many firms, from automakers to electronics, are already seeing marketing opportunities in zero-carbon products. Those firms are shifting supply chains to be able to deliver that claim to market. Politicians’ rhetoric on the issue is widely supported by the majority of the public (at least in Europe). But that may change as the costs begin to bite.",Positive
Chinas Opaque Oil Data Leaves Markets In The Dark.html,"China saw its first-half crude imports drop year over year for the first time in a first half in eight years, sparking concerns in the market that purchases from the world’s largest oil importer may not be too supportive for oil in the coming months.  At the same time, Chinese fuel exports have been rising this past half-year due to record refinery run rates amid a glut of refined oil products.  In recent months, Chinese refiners have been processing more crude than the apparent availability, calculated as the sum of imports and domestic production, estimates by Reuters columnist Clyde Russell based on Chinese data show.  On the face of it, based on a simplified crude availability/product exports estimate, it would appear that China is consuming domestically less crude oil than before, according to Russell.  Analysts, who are watching closely the imports and estimated consumption trends in the world’s largest crude oil importer, are looking for clues about Chinese demand and purchases, which could, at times, be the single largest driver of oil prices.  Since China doesn’t report crude inventories in either commercial or strategic petroleum reserves, the analysts’ job is a complicated one and involves a lot of assumptions and ‘what ifs’.  Despite the uncertainty about how much crude oil China really consumes these days, one thing is clear: recent customs data out of China is giving the market some mixed signals, possibly tilted to the bearish side.  
  Related: Oil Stabilizes After Saudi-UAE Compromise Removes Major Uncertainty But there are two key reasons why Chinese crude oil imports fell in the first half for the first time since 2013. These are the significantly higher crude prices this year, compared to the Q2 2020 lows, and a crackdown on illicit fuel trade and tax avoidance or tax evasion from the private refiners, commonly known as teapots.   China’s crude oil imports fell to some 9.77 million barrels per day (bpd) in June 2021, down 2 percent in May and the lowest monthly level since the start of the year, according to customs data cited by Reuters. Over the first half of the year, China imported 260.66 million tons of crude, or 10.51 million bpd per Reuters estimates. This was a 3 percent drop compared to the first half of 2020. The first-half figure was boosted by increased imports by independent refiners. Since the first quarter, however, Beijing has begun cracking down on the teapots, as production of fuels both at independent refiners and state-owned majors was rising faster than demand, undermining refining margins and creating a glut. In addition, China has been increasing the oversight on the refining industry in order to crack down on the illicit fuel trade, close loopholes that some companies have been using to avoid paying fuel consumption taxes, and curb the fuel oversupply, part of which is the result of tax avoidance or tax evasion. At the same time, Chinese refiners processed a record amount of crude oil in June, at 14.8 million bpd, up by 3.9 percent from May when run rates also broke records, statistics data showed. The average daily run rates for the first half of the year were even higher, at 15.13 million barrels—up by 10.7 percent from a year earlier, the data also showed. 
 The record run rates are higher than the implied availability of crude in China as calculated by imports plus domestic production, Reuters’ Russell notes.  This suggests that refiners have been drawing down from inventories in recent months. They may likely prefer tapping into the (unknown) crude inventories stockpiled at ultra-low prices last year than paying in excess of $70 per barrel for oil for more imports now.  Going forward, the Chinese imports could cool down further if refiners continue to tap inventories than boost crude purchases at $70-plus oil.  Independent refiners are expected to curb crude imports in the second half of 2021 after China slashed by 35 percent the import quotas for the teapots in the second batch of oil buying authorizations this year. The significantly lower quotas suggest that private Chinese refiners could import much lower volumes in the second half of the year compared to last year and to recent months.   China’s opaque crude inventory data leads to a lot of speculation about how much the world’s top oil importer has stocked up in inventories and how it would act on the market with prices now more than double the average Brent price of just below $30 a barrel during the second quarter of 2020.   ",Negative
Weak Fuel Demand Sends Indias Oil Imports To 9 Month Low.html,"Indian refiners imported in June 2021 the lowest volume of crude oil in nine months, as purchases slowed down in April and May when India imposed regional mobility restrictions to curb a resurgence in COVID cases, Reuters reported on Friday, quoting tanker data from trade sources. India is estimated to have imported around 3.9 million barrels per day (bpd) of crude oil in June, which was down by 7 percent compared to the imports in May. The June 2021 imports were still higher than in the same month of 2020, when India—and most of the world—was on nationwide lockdown. 
 The June 2021 slump in crude oil imports at the world’s third-largest oil importer was not surprising, considering that April and May—the months in which refiners likely nominated oil cargoes for June—saw the peak of India’s COVID crisis, with grim records in daily new cases, hospitalizations, and deaths. The federal government decided against a nationwide lockdown, fearing economic collapse. But the most populous cities and regions were placed under regional lockdowns and various forms of curfew, which dragged down demand for the road transportation fuels gasoline and diesel. Indian fuel demand plunged by 9.4 percent in April compared to March due to the COVID crisis. Fuel demand in India continued to slump in May, with gasoline sales down to a one-year low and diesel consumption dropping to the lowest in seven months in the first two weeks of May.  As a result, refiners reduced run rates and nominated less crude for arrival in June as inventories grew. For example, India’s top refiner, Indian Oil Corporation (IOC), had reduced its capacity utilization to 84 percent in the middle of May, compared to 100 percent last November when demand was rebounding. 
 In June 2021, Iraq remained India’s top oil supplier, with Saudi Arabia second and the United Arab Emirates (UAE) up four places to take the third spot of India’s largest crude suppliers, the data obtained by Reuters showed. ",Negative
The Best 2 Stocks To Hold As Oil Prices Explode.html,"Crude oil was already having a banner year amid a faster-than-expected recovery from the pandemic. Now, with an OPEC compromise in place, there will be no oil price war, volatility will settle down, and oil could—once again—become Wall Street’s No. 1 commodity. In mid-June, the ratio of bullish to bearish bets on oil in New York stood at an impressive 23 to 1. This compares with a ratio of 6 to 1 at the beginning of the year, according to the Wall Street Journal. Surging demand is beyond the expectations of many at this point, and that’s prompted a very bullish run on oil futures. Last year, oil consumption dropped by a record 8.6 million barrels per day amid the pandemic lockdowns. This year, it is predicted to rebound by 5.4 million barrels per day, according to the International Energy Agency (IEA). Then, in 2022, consumption is estimated to rise by another 3.1 million bpd. ",Negative
OPEC Sees Global Oil Demand Exceeding 100 Million Bpd In 2022.html,"World oil demand is expected to surpass the 100 million barrels per day (bpd) mark in the second half of 2022, thanks to solid economic growth and expectations of continued success in containing the pandemic, OPEC said on Thursday. Global economic growth is set to jump by 5.5 percent this year and another 4.1 percent next year, the cartel said in its closely-watched Monthly Oil Market Report released on Thursday. OPEC sees global oil demand growing by 6 million bpd this year, unchanged from last month’s assessment. Total oil demand is projected to average 96.6 million bpd in 2021.
 Next year, global oil demand will rise by a further 3.3 million bpd over 2021 to average 99.86 million bpd, roughly returning to the average demand of 2019, before the pandemic. The 100-million-bpd mark will be exceeded in the second half of 2022, OPEC said.  Oil demand in developed economies is set to rise by 1.5 million bpd in 2022 over 2021, with U.S. oil demand leading the increase, although American oil demand will be marginally below 2019 levels, mainly due to lagging transportation fuel demand. OECD Europe and Asia Pacific will also grow, but remain below 2019 levels. Led by China and India, oil demand in developing economies is projected to increase by 1.8 million bpd in 2022 and exceed pre-pandemic levels. This growth will be supported by the recovery in transportation fuels and firm industrial fuels demand, including petrochemical feedstocks. In terms of fuels, gasoline and diesel are expected to lead oil demand growth in 2022, OPEC said.
 Jet fuel will continue to recover, thanks to domestic and international air travel, but business travel is expected to lag. OPEC flagged a number of uncertainties in the 2022 outlook, including the pandemic-related impact on transportation fuels and acceleration of inflation in case of strong growth. ",Positive
Chinese Refineries Shatter Records In June.html,"China’s refineries processed a record amount of crude oil last month, at 14.8 million bpd, up by 3.9 percent from May when run rates also broke records, Reuters reported, citing data from the national statistics bureau. The average daily run rates for the first half of the year were even higher, at 15.13 million barrels—up by 10.7 percent from a year earlier, the data also showed. Refinery runs globally surged by as much as 1.6 million barrels per day in June, up from a stagnant performance in May, the International Energy Agency said in its Oil Market Report for July published earlier this week.
 After the June jump, which was the largest monthly increase since July 2020 as per Reuters estimates, refinery runs are expected to further jump through July and August. The increase over this month and next is expected at another 2.7 million bpd from June levels, the IEA said. China certainly accounted for a lot of that increase, but in the second half of the year, things may well change. A lot of the increase during the first half came from independent refiners, the so-called teapots, which just saw their second batch of import quotas reduced by Beijing as excess fuel supply has started eating into refiners’ margins and as the government tightens its grip on the independent refining industry. According to FGE analysts, as cited by Reuters, run rates at independent refineries could decline by close to half a million barrels daily in the current quarter because of the quota cuts and a crackdown on quota trading between state oil majors and teapots.
 Meanwhile, crude oil imports have been on the decline in the first half of the year, according to the latest customs data. It’s worth noting, however, that the decline was from unusually high import rates last year amid low oil prices that China used to fill up its inventories.",Negative
Kuwait Looks At Huge Wealth Fund To Move Beyond Oil.html,"Kuwait’s life-after-oil fund may have become one of the world’s biggest sovereign wealth funds thanks to the country’s healthy oil industry, as it continues to prepare for a life after oil as it invests heavily in the sector while it still can. The Future Generations Fund, managed by the Kuwait Investment Authority or KIA, is thought to be worth around $700 billion at present, according to sources in the country, after closing at $670 billion at the end of the fiscal year in March, making it the world’s largest oil fund after those of Norway and China.  The fund has steadily grown in recent years as Kuwait attempts to invest money earned from oil and gas to eventually decrease its dependency on the sector. Around half of its investments are based in the U.S., where Kuwait is seeing a significant return on its S&P 500 stocks and shares, following an uncertain year during the pandemic.  However, many have highlighted the need for Kuwait to diversify its economy beyond oil and gas for years, encouraging the country not to put all its eggs in one basket. A report from earlier this year suggested that the low global demand in 2020, driven by the pandemic, and this year’s OPEC+ cuts in production have reduced the income from Kuwaiti oil.  Because of its oil dependence, and other knock-on effects of the pandemic, Kuwait saw around an 8 percent decrease in its GDP in 2020. But the outlook is hopeful as the country is expecting its GDP to grow by 2.5 percent in 2020, owing to greater investment in its non-oil sector. 
 As oil demand recovery steadily improves, OPEC+ is expected to reduce cuts over the summer months to resume pre-pandemic production levels. In addition, Kuwait’s originally slow vaccine rollout is finally picking up pace, meaning restrictions are expected to ease so businesses can reopen. But the last year and a half of turbulence has taught Kuwait that it cannot depend solely on its oil sector forever.   Related: Colombia Looks Offshore To Revitalize Its Oil Industry Kuwait is not the only state in the Middle East to look for greater economic diversification as several Gulf states realised the importance of investing beyond oil during the 2014 oil price crash, although many were not prepared for this crash leading to the need for austerity policies.  Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, and the United Arab Emirates have all relied heavily on oil and gas for the last half a century, building their economies on the foundation of energy. Now, several are looking at hydrogen and other renewable options as a means of modernising their already strong energy sectors in line with global demand for greener energy. 
 But Kuwait still has a long way to go, according to a Moody report, with heavy investment in oil and gas expected to continue throughout the 2020s. Moody suggests that little progress has been made since the 2014 crash, despite attempts at diversification, and oil dependence in the region will continue for at least the next decade. At present, oil and gas production in Gulf states continues to contribute around 20 percent to GDP, account for 65 percent of total exports and around 50 percent of state revenues.   Alexander Perjessy, VP and senior analyst at Moody explains, “The announced plans to boost hydrocarbon production capacity and government commitments to zero or very low taxes make it unlikely that heavy reliance on hydrocarbons will diminish significantly in the coming years.” So, while Kuwait’s oil wealth fund shows significant promise, the country and region have a long way to go before they can decrease their dependence on oil and gas, as Kuwait and most other Gulf states will continue to invest heavily in the industry so long as global demand remains. ",Positive
EIA Inventory Report Sends Oil Prices Higher.html,"Crude oil prices inched higher today after the Energy Information Administration reported a crude oil inventory draw of 7.9 million barrels for the week to July 9. The report was delayed due to a technical issue, per MarketWatch. Last week’s inventory decline compared with a draw of 6.9 million barrels for the previous week and an estimated decline of 4 million barrels, as reported by the American Petroleum Institute on Tuesday.
 At the time of writing, Brent crude was trading at $ 76.15 a barrel and West Texas Intermediate was trading at $74.79 a barrel, both down from opening as Saudi Arabia and UAE agreed on the extension of OPEC+ production cuts until end-2022, with UAE allowed to up production. In gasoline, the authority estimated a stock build of 1 million barrels for the week to July 9, which compared with significant draw of 6.1 million barrels reported for the previous week. Production of gasoline last week averaged 9.9 million bpd, which compared with 10.6 million bpd for the previous week. Gasoline demand has been on a strong rebound in the United States and this, coupled with tighter supply and logistical problems, has brought prices at the pump at the highest in months. The national average per gallon of gasoline was $3.12 per gallon as of July 12, per GasBuddy.
 In middle distillates, meanwhile, the EIA reported an inventory build of 3.7 million barrels for the week to July 9. This compared with an inventory build of 1.6 million barrels for the previous week. Middle distillate production averaged 4.9 million bpd last week, compared with 5 million bpd for the previous week. Oil prices have been on the seesaw recently, as rising worry about the spread of the latest coronavirus variant—and reports of newly emerging ones—dampened optimism about the global economy somewhat.",Negative
